Maturity,DF,FwdRate_qc,CapletsForwardVols
0.25,0.994579541,0.0218,0.21156
0.5,0.988508008,0.024568476,0.2281
0.75,0.981898759,0.026924361,0.2554
1,0.974834395,0.028986927,0.2856
1.25,0.967379387,0.030825581,0.3136
1.5,0.959592466,0.032459284,0.3342
1.75,0.95150486,0.033999224,0.3404
2,0.943108892,0.03560975,0.3291
2.25,0.934411792,0.037230266,0.3121
2.5,0.925459154,0.038694901,0.2966
2.75,0.916279115,0.040075299,0.2876
3,0.906899353,0.041370685,0.2869
3.25,0.897408256,0.042304478,0.2867
3.5,0.887779549,0.043383324,0.2839
3.75,0.878039084,0.044373719,0.2777
4,0.868212126,0.045274454,0.2682
4.25,0.858244865,0.04645416,0.2589
